Star_name_1,Distance_1,Mass_1,Radius_1
2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
2MASS J10073369-4555147,46.0,0.042001873,0.09659721999999998
2MASSI J1010148-040649 [de],55.0,0.04868399,0.10070773999999999
2MASSI J1017075+130839 [de],108.0,,
SDSS J102109.69-030420.1,95.0,,
2MASS J10224821+5825453 [de],60.0,0.025773875,0.14489582999999998
2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
2MASS J1047538+212423 [de],34.4,0.040092696,0.09659721999999998
DEN 1048-3956,13.15,0.07350328,0.10995641
Luhman 16B,6.516,0.041047283,0.10481826
Luhman 16A,6.516,0.03818352,0.10379063
DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
TWA 28,180.0,0.03436517,0.24560357
Cha 110913-773444,163.0,0.007636704,0.18497339999999998
OTS 44,554.0,0.01431882,
SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
2MASS J11145133−2618235,18.2,0.031501405,0.09865247999999999
TWA 26,137.0,0.02863764,0.2260786
2MASSW J1146345+223053,89.0,,
2MASS J11544223-3400390 [de],129.0,0.035319757,0.1541445
2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
TWA 27A,,,
TWA 27B,,,
2MASS J12074836-3900043,217.0,0.016227996,0.17572473
2MASSI J1217110-031113 [de],36.0,0.040092696,0.09659721999999998
2MASS J12255432-2739466,43.0,,
DENIS-P J1228.2-1547,66.0,,
2M 1237+6526,45.6,0.03913811,0.09659721999999998
2MASSW J1239272+551537 [de],119.0,,
TWA 29,262.0,0.001909176,2.5690749999999998
SDSSp J125453.90-012247.4 [de],38.0,0.044865634,0.10070773999999999
Kelu-1A,61.0,0.060139045,0.10070773999999999
Kelu-1B,61.0,0.055366103,0.10070773999999999
2MASS J13204427+0409045,101.0,0.06395739,0.10379063
SDSSp J132629.82-003831.5 [de],65.0,0.04868399,0.09968010999999999
SDSSp J134646.45-003150.4 [de],48.0,0.042001873,0.09659721999999998
2MASS J13595510-4034582,51.0,0.060139045,0.102763
ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
SDSS J141659.78+500626.4 [de],149.0,0.056320693,0.10173536999999999
DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716
LHS 2924,38.5,0.07254869,0.10892878
2MASS J14392837+1929150,47.0,0.06873034,0.10584589
LSPM J1440+1339,72.0,0.087822095,0.12228796999999998
2MASS J14482563+1031590 [de],47.0,0.056320693,0.10173536999999999
CFBDSIR 1458+10A,104.0,0.010595927,0.1541445
CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999
TVLM 513-46546,35.1,0.0715941,0.10790115
2MASS 1503+2525,20.7,0.042001873,0.09659721999999998
CFBDS J150411+102717,71.0,0.042001873,0.09659721999999998
2MASSW J1506544+132106 [de],46.0,0.065866575,0.10481826
2MASS 1507−1627,23.9,0.05727528,0.10173536999999999
TVLM 868-110639,53.0,0.07541245,0.11098404
SDSS J151114.66+060742.9 [de],89.0,,
2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999
2MASSI J1526140+204341 [de],67.0,0.05154775,0.10070773999999999
DENIS-P J153941.96-052042.4 [de],51.0,0.060139045,0.102763
2MASS J15462718-3325111 [de],37.0,0.042001873,0.09659721999999998
2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695108999999998
2MASSW J1555157-095605 [de],44.0,0.06777575,0.10584589
2MASS J16150413+1340079 [de],48.0,0.040092696,0.09659721999999998
